,tree_id,lat,lon,month_planted,year_planted,season
30724,91256,37.75610612,-122.4233132,11,2008,fall
30728,112042,37.79331067,-122.4356172,1,2016,winter
30735,156622,37.75324055,-122.4162402,5,2017,spring
30736,50304,37.78249017,-122.4871431,9,2003,fall
30740,109275,37.7600289,-122.4974376,2,2015,winter
30745,44782,37.76198431,-122.4074179,4,2001,spring
30746,33842,37.7564771,-122.3931032,7,1997,summer
30748,6737,37.73821034,-122.381563,8,2012,summer
30750,36878,37.79194091,-122.4411297,5,1998,spring
30753,1243,37.71184368,-122.4652758,1,2004,winter
30755,4093,37.74809651,-122.4151984,4,1995,spring
30757,17682,37.77981223,-122.4352773,5,1992,spring
30764,7045,37.77386821,-122.4397271,1,2010,winter
30771,83664,37.72708283,-122.4296674,11,2019,fall
30772,64872,37.7602359,-122.4313229,8,2016,summer
30773,18312,37.76757157,-122.4078767,2,2001,winter
30777,7065,37.77332968,-122.4439578,6,2014,summer
30778,265229,37.72527553,-122.4713433,11,1998,fall
30784,67963,37.7728186,-122.4884286,3,1993,spring
30787,203203,37.76662113,-122.398093,3,2018,spring
30789,253495,37.77369248,-122.4096587,9,2017,fall
30794,14635,37.78007171,-122.4218432,9,2006,fall
30805,46951,37.75811133,-122.5024502,5,2002,spring
30809,108638,37.73075268,-122.4469495,12,2014,winter
30810,27465,37.75264754,-122.3875912,11,2010,fall
30815,172447,37.79643206,-122.411666,2,2018,winter
30816,173628,37.71428886,-122.4755334,1,2017,winter
30817,93448,37.74233787,-122.4908942,2,2009,winter
30820,10887,37.73433937,-122.3826997,6,1996,summer
30822,41477,37.71788597,-122.3873444,5,2002,spring
30823,28317,37.73903526,-122.4156454,11,2003,fall
30828,83382,37.76261221,-122.3971168,7,2009,summer
30832,87726,37.7962695,-122.4235053,1,2008,winter
30839,32217,37.74745797,-122.4099453,8,1995,summer
30844,32473,37.76331241,-122.44226,10,1996,fall
30846,5269,37.78141557,-122.4394179,5,1992,spring
30848,57633,37.77770268,-122.4245799,11,1976,fall
30859,54042,37.79557371,-122.4403836,4,1972,spring
30874,4667,37.80058789,-122.4106002,10,2012,fall
30882,89096,37.7775346,-122.4771076,3,2008,spring
30884,108724,37.76260192,-122.4024651,1,2015,winter
30886,30128,37.71233101,-122.4670069,3,2007,spring
30887,51418,37.77191366,-122.4115418,10,2004,fall
30892,67322,37.77893478,-122.46596,7,1992,summer
30895,25679,37.79806025,-122.3963595,12,2000,winter
30899,24940,37.78216993,-122.4484694,8,1996,summer
30904,11599,37.76048236,-122.5066071,4,2008,spring
30907,11781,37.72326304,-122.4722472,3,2013,spring
30918,93378,37.7776077,-122.4558411,12,2008,winter
30920,88202,37.7799653,-122.4049123,7,2008,summer
30921,192296,37.76239609,-122.4061348,7,2021,summer
30930,33806,37.79407789,-122.4285267,11,1996,fall
30932,18093,37.78640774,-122.4452368,5,2013,spring
30935,29476,37.72988955,-122.3832105,2,2006,winter
30938,32083,37.76106311,-122.4311812,8,1995,summer
30946,56350,37.76020713,-122.433739,7,2014,summer
30947,127946,37.79953752,-122.4001222,6,2017,summer
30949,216642,37.71914028,-122.454022,10,2017,fall
30959,66024,37.79867457,-122.4407983,7,1990,summer
30963,27180,37.72961635,-122.4328939,7,1999,summer
